Word,file1_col1,file1_col2,file2_col1,file2_col2,file2_col3,file2_col4,file2_col5,file2_col6,file2_col7,file2_col8,file2_col9,file2_col10,file2_col11,file2_col12,file2_col13,file2_col14,file2_col15,file2_col16,file2_col17,file2_col18
achieve,796,achieve,achieve,achieves,achieved,achieving,achieveing,achieveings,,,,,,,,,,,,
achievement,2051,achievement,achievement,achievements,,,,,,,,,,,,,,,,
acid,2877,acid,acid,acids,,,,,,,,,,,,,,,,
acknowledge,1797,acknowledge,acknowledge,acknowledges,acknowledged,acknowledging,acknowledgings,,,,,,,,,,,,,
acquire,1514,acquire,acquire,acquires,acquired,acquiring,acquirings,,,,,,,,,,,,,
acquisition,2060,acquisition,acquisition,acquisitions,,,,,,,,,,,,,,,,
across,433,across,across,,,,,,,,,,,,,,,,,
act,565,act,act,acts,acted,acting,actings,,,,,,,,,,,,,
action,524,action,action,actioned;actions,actioned;actioning,actioning;actionings,actionings,,,,,,,,,,,,,
activate,3813,activate,activate,activates,activated,activating,activatings,,,,,,,,,,,,,
active,1404,active,active,actives,,,,,,,,,,,,,,,,
actively,3687,actively,actively,,,,,,,,,,,,,,,,,
activity,482,activity,activity,activities,,,,,,,,,,,,,,,,
actor,1419,actor,actor,actors,,,,,,,,,,,,,,,,
actress,3143,actress,actress,actresses,,,,,,,,,,,,,,,,
actual,1385,actual,actual,actuals,,,,,,,,,,,,,,,,
actually,341,actually,actually,,,,,,,,,,,,,,,,,
acute,3866,acute,acute,acutest,,,,,,,,,,,,,,,,
ad,1528,ad,ad,ads,,,,,,,,,,,,,,,,
adapt,2422,adapt,adapt,adapts,adapted,adapting,adaptings,,,,,,,,,,,,,
adaptation,4104,adaptation,adaptation,adaptations,,,,,,,,,,,,,,,,
add,464,add,add,added;adds,added;adding,adding;addings,addings,,,,,,,,,,,,,
addition,757,addition,addition,additions,,,,,,,,,,,,,,,,
additional,1131,additional,additional,additionals,,,,,,,,,,,,,,,,
additionally,4425,additionally,additionally,,,,,,,,,,,,,,,,,
address,608,address,address,addressed;addresses,addressed;addressing,addressing;addressings,addressings,,,,,,,,,,,,,
adequate,2408,adequate,adequate,,,,,,,,,,,,,,,,,
adjacent,4050,adjacent,adjacent,adjacents,,,,,,,,,,,,,,,,
adjust,2258,adjust,adjust,adjusts,adjusted,adjusting,adjustings,,,,,,,,,,,,,
adjustment,2767,adjustment,adjustment,adjustments,,,,,,,,,,,,,,,,
administer,3272,administer,administer,administers,administered,administering,administerings,,,,,,,,,,,,,
administration,1096,administration,administration,administrations,,,,,,,,,,,,,,,,
administrative,2987,administrative,administrative,,,,,,,,,,,,,,,,,
administrator,3762,administrator,administrator,administrators,,,,,,,,,,,,,,,,
admire,2397,admire,admire,admires,admired,admiring,admirings,,,,,,,,,,,,,
admission,2976,admission,admission,admissions,,,,,,,,,,,,,,,,
admit,1084,admit,admit,admits,admited,admitting,admitted,,,,,,,,,,,,,
adolescent,3378,adolescent,adolescent,adolescents,,,,,,,,,,,,,,,,
adopt,1293,adopt,adopt,adopts,adopted,adopting,adoptings,,,,,,,,,,,,,
adult,930,adult,adult,adults,,,,,,,,,,,,,,,,
advance,894,advance,advance,advances,advanced,advancing,advanceing,advanceings,,,,,,,,,,,,
advantage,823,advantage,advantage,advantages,advantaged,advantaging,advantagings,,,,,,,,,,,,,
adventure,2717,adventure,adventure,adventures,adventured,adventuring,adventurings,,,,,,,,,,,,,
adverse,4206,adverse,adverse,,,,,,,,,,,,,,,,,
advertise,1222,advertise,advertise,advertises,advertised,advertising,advertize,advertizes,advertized,advertizing,advertizings,,,,,,,,,
advertisement,1991,advertisement,advertisement,advertisements,advertisment,advertisments,,,,,,,,,,,,,,
advice,1090,advice,advice,advices,,,,,,,,,,,,,,,,
advise,1795,advise,advise,advises,advised,advising,advisings,,,,,,,,,,,,,
adviser,2251,adviser,adviser,advisers,,,,,,,,,,,,,,,,
advisor,4788,advisor,advisor,advisors,,,,,,,,,,,,,,,,
advisory,4813,advisory,advisory,advisories,,,,,,,,,,,,,,,,
advocate,2366,advocate,advocate,advocates,advocated,advocating,advocatings,,,,,,,,,,,,,
aesthetic,4424,aesthetic,aesthetic,aesthetics,esthetic,esthetics,,,,,,,,,,,,,,
affair,1498,affair,affair,affairs,,,,,,,,,,,,,,,,
affect,689,affect,affect,affected;affects,affected;affecting,affecting;affectings,affectings,,,,,,,,,,,,,
afford,1538,afford,afford,affords,afforded,affording,affordings,,,,,,,,,,,,,
affordable,4845,affordable,affordable,affordables,,,,,,,,,,,,,,,,
afraid,1403,afraid,afraid,,,,,,,,,,,,,,,,,
after,134,after,after,,,,,,,,,,,,,,,,,
afternoon,998,afternoon,afternoon,afternoons,,,,,,,,,,,,,,,,
afterward,2870,afterward,afterward,afterwards,,,,,,,,,,,,,,,,
again,225,again,again,,,,,,,,,,,,,,,,,
against,274,against,against,,,,,,,,,,,,,,,,,
age,332,age,age,aged;ages,aged;aging,ageing;aging,ageing;ageings,ageings,,,,,,,,,,,,
agency,1020,agency,agency,agencies,,,,,,,,,,,,,,,,
agenda,2080,agenda,agenda,agendas,,,,,,,,,,,,,,,,
agent,1042,agent,agent,agents,,,,,,,,,,,,,,,,
aggregate,3803,aggregate,aggregate,aggregates,aggregated,aggregating,aggregatings,,,,,,,,,,,,,
aggressive,2517,aggressive,aggressive,,,,,,,,,,,,,,,,,
ago,422,ago,ago,,,,,,,,,,,,,,,,,
agree,470,agree,agree,agreed;agrees,agreed;agreeing,agreeing;agreeings,agreeings,,,,,,,,,,,,,
agreement,835,agreement,agreement,agreements,,,,,,,,,,,,,,,,
agricultural,2262,agricultural,agricultural,agriculturals,,,,,,,,,,,,,,,,
agriculture,3079,agriculture,agriculture,agricultures,,,,,,,,,,,,,,,,
ahead,1024,ahead,ahead,,,,,,,,,,,,,,,,,
aid,1355,aid,aid,aids,aided,aiding,aidings,,,,,,,,,,,,,
aim,844,aim,aim,aims,aimed,aiming,aimings,,,,,,,,,,,,,
air,592,air,air,aired;airs,aired;airing,airing;airings,airings,,,,,,,,,,,,,
aircraft,1882,aircraft,aircraft,aircrafts,,,,,,,,,,,,,,,,
airline,2652,airline,airline,airlines,,,,,,,,,,,,,,,,
airplane,3309,airplane,airplane,airplanes,aeroplane,aeroplanes,,,,,,,,,,,,,,
airport,2869,airport,airport,airports,,,,,,,,,,,,,,,,
alarm,2321,alarm,alarm,alarms,alarmed,alarming,alarmings,,,,,,,,,,,,,
album,2231,album,album,albums,,,,,,,,,,,,,,,,
alcohol,2264,alcohol,alcohol,alcohols,,,,,,,,,,,,,,,,
alert,3176,alert,alert,alerts,alerted,alerting,alertings,,,,,,,,,,,,,
alien,3753,alien,alien,aliens,,,,,,,,,,,,,,,,
alike,3761,alike,alike,,,,,,,,,,,,,,,,,
alive,1824,alive,alive,,,,,,,,,,,,,,,,,
all,83,all,all,alls,,,,,,,,,,,,,,,,
allege,2612,allege,allege,alleges,alleged,alleging,allegings,,,,,,,,,,,,,
alliance,3055,alliance,alliance,alliances,,,,,,,,,,,,,,,,
allocate,3402,allocate,allocate,allocates,allocated,allocating,allocatings,,,,,,,,,,,,,
allocation,3735,allocation,allocation,allocations,,,,,,,,,,,,,,,,
allow,374,allow,allow,allowed;allows,allowed;allowing,allowing;allowings,allowings,,,,,,,,,,,,,
ally,2316,ally,ally,allies,allied,allying,allyings,,,,,,,,,,,,,
almost,357,almost,almost,almosts,,,,,,,,,,,,,,,,
alone,769,alone,alone,,,,,,,,,,,,,,,,,
along,438,along,along,,,,,,,,,,,,,,,,,
alongside,2816,alongside,alongside,,,,,,,,,,,,,,,,,
already,352,already,already,,,,,,,,,,,,,,,,,
alright,2851,alright,alright,,,,,,,,,,,,,,,,,
also,122,also,also,,,,,,,,,,,,,,,,,
alter,2152,alter,alter,alters,altered,altering,alterings,,,,,,,,,,,,,
alternate,4458,alternate,alternate,alternates,alternated,alternating,alternatings,,,,,,,,,,,,,
alternative,1140,alternative,alternative,alternatives,,,,,,,,,,,,,,,,
alternatively,4519,alternatively,alternatively,,,,,,,,,,,,,,,,,
although,328,although,although,altho,,,,,,,,,,,,,,,,
altogether,2728,altogether,altogether,,,,,,,,,,,,,,,,,
aluminum,4704,aluminum,aluminum,aluminium,,,,,,,,,,,,,,,,
always,233,always,always,,,,,,,,,,,,,,,,,
amateur,4067,amateur,amateur,amateurs,,,,,,,,,,,,,,,,
amaze,1574,amaze,amaze,amazes,amazed,amazing,amazings,,,,,,,,,,,,,
ambassador,3786,ambassador,ambassador,ambassadors,,,,,,,,,,,,,,,,
ambitious,3544,ambitious,ambitious,,,,,,,,,,,,,,,,,
amendment,2653,amendment,amendment,amendments,,,,,,,,,,,,,,,,
among,426,among,among,,,,,,,,,,,,,,,,,
amongst,2898,amongst,amongst,,,,,,,,,,,,,,,,,
amount,557,amount,amount,amounted;amounts,amounted;amounting,amounting;amountings,amountings,,,,,,,,,,,,,
amuse,3319,amuse,amuse,amuses,amused,amusing,amusings,,,,,,,,,,,,,
analogy,4772,analogy,analogy,analogies,,,,,,,,,,,,,,,,
analysis,806,analysis,analysis,analyses,,,,,,,,,,,,,,,,
analyst,2220,analyst,analyst,analysts,,,,,,,,,,,,,,,,
analyze,1691,analyze,analyze,analyzes,analyzed,analyzing,analyse,analysed,analysing,analysings,,,,,,,,,,
ancestor,4056,ancestor,ancestor,ancestors,,,,,,,,,,,,,,,,
ancient,1777,ancient,ancient,ancients,ancientest,,,,,,,,,,,,,,,
and,53,and,and,anded;ands,anded;anding,anding,,,,,,,,,,,,,,
anger,2190,anger,anger,angers,angered,angering,angerings,,,,,,,,,,,,,
angle,2388,angle,angle,angles,angled,angling,anglings,,,,,,,,,,,,,
angry,1863,angry,angry,angrier,angriest,,,,,,,,,,,,,,,
animal,637,animal,animal,animals,,,,,,,,,,,,,,,,
anniversary,3085,anniversary,anniversary,anniversaries,,,,,,,,,,,,,,,,
announce,1054,announce,announce,announces,announced,announcing,announcings,,,,,,,,,,,,,
announcement,2508,announcement,announcement,announcements,,,,,,,,,,,,,,,,
annoy,3097,annoy,annoy,annoys,annoyed,annoying,annoyings,,,,,,,,,,,,,
annual,1227,annual,annual,annuals,,,,,,,,,,,,,,,,
annually,4139,annually,annually,,,,,,,,,,,,,,,,,
another,190,another,another,,,,,,,,,,,,,,,,,
answer,405,answer,answer,answered;answers,answered;answering,answering;answerings,answerings,,,,,,,,,,,,,
antibiotic,4894,antibiotic,antibiotic,antibiotics,,,,,,,,,,,,,,,,
antibody,4651,antibody,antibody,antibodies,,,,,,,,,,,,,,,,
anticipate,2385,anticipate,anticipate,anticipates,anticipated,anticipating,anticipatings,,,,,,,,,,,,,
antique,4495,antique,antique,antiques,antiqued,antiquing,antiquings,,,,,,,,,,,,,
anxiety,2390,anxiety,anxiety,anxieties,,,,,,,,,,,,,,,,
anxious,2716,anxious,anxious,,,,,,,,,,,,,,,,,
any,133,any,any,,,,,,,,,,,,,,,,,
anybody,1481,anybody,anybody,,,,,,,,,,,,,,,,,
anymore,2157,anymore,anymore,,,,,,,,,,,,,,,,,
anyone,804,anyone,anyone,,,,,,,,,,,,,,,,,
anything,368,anything,anything,anythings,,,,,,,,,,,,,,,,
anyway,943,anyway,anyway,anyways,,,,,,,,,,,,,,,,
anywhere,1698,anywhere,anywhere,,,,,,,,,,,,,,,,,
apart,1171,apart,apart,,,,,,,,,,,,,,,,,
apartment,2218,apartment,apartment,apartments,,,,,,,,,,,,,,,,
apologize,2351,apologize,apologize,apologizes,apologized,apologizing,apologise,apologises,apologised,apologising,apologisings,,,,,,,,,
apology,3451,apology,apology,apologies,,,,,,,,,,,,,,,,
apparent,2201,apparent,apparent,,,,,,,,,,,,,,,,,
apparently,1327,apparently,apparently,,,,,,,,,,,,,,,,,
appeal,1123,appeal,appeal,appeals,appealed,appealing,appealings,,,,,,,,,,,,,
appear,455,appear,appear,appears,appeared,appearing,appearings,,,,,,,,,,,,,
appearance,1618,appearance,appearance,appearances,,,,,,,,,,,,,,,,
apple,3074,apple,apple,apples,,,,,,,,,,,,,,,,
applicable,4227,applicable,applicable,applicables,,,,,,,,,,,,,,,,
applicant,4142,applicant,applicant,applicants,,,,,,,,,,,,,,,,
application,934,application,application,applications,,,,,,,,,,,,,,,,
apply,661,apply,apply,applied;applies,applied;applying,applying;applyings,applyings,,,,,,,,,,,,,
appoint,1838,appoint,appoint,appoints,appointed,appointing,appointings,,,,,,,,,,,,,
appointment,1889,appointment,appointment,appointments,,,,,,,,,,,,,,,,
appraisal,5019,appraisal,appraisal,appraisals,,,,,,,,,,,,,,,,
appreciate,1324,appreciate,appreciate,appreciates,appreciated,appreciating,appreciatings,,,,,,,,,,,,,
appreciation,3514,appreciation,appreciation,appreciations,,,,,,,,,,,,,,,,
approach,545,approach,approach,approaches,approached,approaching,approachings,,,,,,,,,,,,,
appropriate,1069,appropriate,appropriate,appropriates,appropriated,appropriating,appropriatings,,,,,,,,,,,,,
approval,2352,approval,approval,approvals,,,,,,,,,,,,,,,,
approve,1625,approve,approve,approves,approved,approving,approvings,,,,,,,,,,,,,
approximately,1952,approximately,approximately,,,,,,,,,,,,,,,,,
arc,4959,arc,arc,arcs,arced,arcing,arcings,,,,,,,,,,,,,
architect,3000,architect,architect,architects,architected,architecting,architectings,,,,,,,,,,,,,
architectural,4447,architectural,architectural,architecturals,,,,,,,,,,,,,,,,
architecture,2477,architecture,architecture,architectures,,,,,,,,,,,,,,,,
archive,4071,archive,archive,archives,archived,archiving,archivings,,,,,,,,,,,,,
area,254,area,area,areas,,,,,,,,,,,,,,,,
argue,790,argue,argue,argues,argued,arguing,argueing,argueings,,,,,,,,,,,,
argument,929,argument,argument,arguments,arguement,arguements,,,,,,,,,,,,,,
arise,1679,arise,arise,arises,arose,arising,arisen,arised,,,,,,,,,,,,
arm,671,arm,arm,arms,armed,arming,armings,,,,,,,,,,,,,
army,1468,army,army,armies,,,,,,,,,,,,,,,,
around,220,around,around,,,,,,,,,,,,,,,,,
arrange,1316,arrange,arrange,arranges,arranged,arranging,arrangings,,,,,,,,,,,,,
arrangement,1510,arrangement,arrangement,arrangements,,,,,,,,,,,,,,,,
array,3606,array,array,arrays,arrayed,arraying,arrayings,,,,,,,,,,,,,
arrest,1548,arrest,arrest,arrests,arrested,arresting,arrestings,,,,,,,,,,,,,
arrival,2108,arrival,arrival,arrivals,,,,,,,,,,,,,,,,
arrive,638,arrive,arrive,arrives,arrived,arriving,arrivings,,,,,,,,,,,,,
arrow,4072,arrow,arrow,arrows,arrowed,arrowing,arrowings,,,,,,,,,,,,,
art,696,art,art,arts,,,,,,,,,,,,,,,,
article,680,article,article,articles,articled,articling,articlings,,,,,,,,,,,,,
articulate,3831,articulate,articulate,articulates,articulated,articulating,articulatings,,,,,,,,,,,,,
artifact,4556,artifact,artifact,artifacts,artefact,artefacts,,,,,,,,,,,,,,
artificial,3372,artificial,artificial,artificials,,,,,,,,,,,,,,,,
artist,1233,artist,artist,artists,,,,,,,,,,,,,,,,
artistic,3674,artistic,artistic,artistics,,,,,,,,,,,,,,,,
as,72,as,as,,,,,,,,,,,,,,,,,
ashamed,2856,ashamed,ashamed,,,,,,,,,,,,,,,,,
aside,1994,aside,aside,asides,,,,,,,,,,,,,,,,
ask,184,ask,ask,asked;asks,asked;asking,asking;askings,askings,,,,,,,,,,,,,
asleep,3226,asleep,asleep,,,,,,,,,,,,,,,,,
aspect,2862,aspect,aspect,aspects,,,,,,,,,,,,,,,,
assemble,3329,assemble,assemble,assembles,assembled,assembling,assemblings,,,,,,,,,,,,,
assembly,2935,assembly,assembly,assemblies,,,,,,,,,,,,,,,,
assert,3296,assert,assert,asserts,asserted,asserting,assertings,,,,,,,,,,,,,
assess,1549,assess,assess,assesses,assessed,assessing,assessings,,,,,,,,,,,,,
assessment,1525,assessment,assessment,assessments,,,,,,,,,,,,,,,,
asset,1551,asset,asset,assets,,,,,,,,,,,,,,,,
assign,2543,assign,assign,assigns,assigned,assigning,assignings,,,,,,,,,,,,,
assignment,3113,assignment,assignment,assignments,,,,,,,,,,,,,,,,
assist,2149,assist,assist,assists,assisted,assisting,assistings,,,,,,,,,,,,,
assistance,2065,assistance,assistance,assistances,,,,,,,,,,,,,,,,
assistant,1789,assistant,assistant,assistants,,,,,,,,,,,,,,,,
associate,907,associate,associate,associates,associated,associating,associatings,,,,,,,,,,,,,
association,1645,association,association,associations,,,,,,,,,,,,,,,,
assume,920,assume,assume,assumes,assumed,assuming,assumings,,,,,,,,,,,,,
assumption,1905,assumption,assumption,assumptions,,,,,,,,,,,,,,,,
assurance,3865,assurance,assurance,assurances,,,,,,,,,,,,,,,,
assure,2114,assure,assure,assures,assured,assuring,assurings,,,,,,,,,,,,,
at,73,at,at,,,,,,,,,,,,,,,,,
athlete,2809,athlete,athlete,athletes,,,,,,,,,,,,,,,,
athletic,4400,athletic,athletic,athletics,,,,,,,,,,,,,,,,
atmosphere,1629,atmosphere,atmosphere,atmospheres,,,,,,,,,,,,,,,,
atom,4336,atom,atom,atoms,,,,,,,,,,,,,,,,
attach,1792,attach,attach,attaches,attached,attaching,attachings,,,,,,,,,,,,,
attachment,2844,attachment,attachment,attachments,,,,,,,,,,,,,,,,
attack,682,attack,attack,attacks,attacked,attacking,attackings,,,,,,,,,,,,,
attain,4367,attain,attain,attains,attained,attaining,attainings,,,,,,,,,,,,,
attempt,736,attempt,attempt,attempts,attempted,attempting,attemptings,,,,,,,,,,,,,
attend,870,attend,attend,attends,attended,attending,attendings,,,,,,,,,,,,,
attendance,2801,attendance,attendance,attendances,,,,,,,,,,,,,,,,
attendant,4748,attendant,attendant,attendants,,,,,,,,,,,,,,,,
attention,628,attention,attention,attentions,,,,,,,,,,,,,,,,
attitude,1144,attitude,attitude,attitudes,,,,,,,,,,,,,,,,
attorney,2900,attorney,attorney,attorneys,,,,,,,,,,,,,,,,
attract,1348,attract,attract,attracts,attracted,attracting,attractings,,,,,,,,,,,,,
attraction,2720,attraction,attraction,attractions,,,,,,,,,,,,,,,,
attractive,1765,attractive,attractive,attractives,,,,,,,,,,,,,,,,
attribute,2350,attribute,attribute,attributes,attributed,attributing,attributings,,,,,,,,,,,,,
auction,3706,auction,auction,auctions,auctioned,auctioning,auctionings,,,,,,,,,,,,,
audience,1216,audience,audience,audiences,,,,,,,,,,,,,,,,
audio,3936,audio,audio,,,,,,,,,,,,,,,,,
audit,3102,audit,audit,audits,audited,auditing,auditings,,,,,,,,,,,,,
auditor,4864,auditor,auditor,auditors,,,,,,,,,,,,,,,,
aunt,2831,aunt,aunt,aunts,,,,,,,,,,,,,,,,
authentic,4608,authentic,authentic,authentics,,,,,,,,,,,,,,,,
author,960,author,author,authors,authored,authoring,authorings,,,,,,,,,,,,,
authority,2860,authority,authority,authorities,,,,,,,,,,,,,,,,
authorize,3318,authorize,authorize,authorizes,authorized,authorizing,authorise,authorises,authorised,authorising,authorisings,,,,,,,,,
auto,4314,auto,auto,autos,,,,,,,,,,,,,,,,
automatic,3146,automatic,automatic,automatics,,,,,,,,,,,,,,,,
automatically,2571,automatically,automatically,,,,,,,,,,,,,,,,,
automobile,4650,automobile,automobile,automobiles,,,,,,,,,,,,,,,,
autonomy,4174,autonomy,autonomy,autonomies,,,,,,,,,,,,,,,,
autumn,2842,autumn,autumn,autumns,,,,,,,,,,,,,,,,
availability,3330,availability,availability,availabilities,,,,,,,,,,,,,,,,
available,509,available,available,availables,,,,,,,,,,,,,,,,
average,740,average,average,averages,averaged,averaging,averagings,,,,,,,,,,,,,
avoid,901,avoid,avoid,avoids,avoided,avoiding,avoidings,,,,,,,,,,,,,
await,3443,await,await,awaits,awaited,awaiting,awaitings,,,,,,,,,,,,,
award,1391,award,award,awards,awarded,awarding,awardings,,,,,,,,,,,,,
aware,1089,aware,aware,,,,,,,,,,,,,,,,,
awareness,2473,awareness,awareness,awarenesses,,,,,,,,,,,,,,,,
away,284,away,away,aways,,,,,,,,,,,,,,,,
awful,2256,awful,awful,,,,,,,,,,,,,,,,,
axis,4634,axis,axis,,,,,,,,,,,,,,,,,
baby,921,baby,baby,babied;babies,babied;babying,babying;babys,babys,,,,,,,,,,,,,
back,144,back,back,backed;backs,backed;backing,backing;backings,backings,,,,,,,,,,,,,
background,1273,background,background,backgrounds,backgrounded,backgrounding,backgroundings,,,,,,,,,,,,,
backward,3129,backward,backward,backwards,,,,,,,,,,,,,,,,
bacteria,3524,bacteria,bacteria,,,,,,,,,,,,,,,,,
bad,318,bad,bad,worse;worst,badder;worst,badder;baddest,baddest,,,,,,,,,,,,,
badly,2207,badly,badly,,,,,,,,,,,,,,,,,
bag,1302,bag,bag,bagged;bags,bagged;bagging,bagging;baggings,baggings,,,,,,,,,,,,,
bake,3598,bake,bake,bakes,baked,baking,bakings,,,,,,,,,,,,,
balance,957,balance,balance,balances,balanced,balancing,balancings,,,,,,,,,,,,,
balcony,4884,balcony,balcony,balconies,,,,,,,,,,,,,,,,
ball,1251,ball,ball,balls,balled,balling,ballings,,,,,,,,,,,,,
balloon,3622,balloon,balloon,balloons,ballooned,ballooning,balloonings,,,,,,,,,,,,,
ban,1756,ban,ban,bans,banned,banning,bannings,,,,,,,,,,,,,
band,1137,band,band,bands,banded,banding,bandings,,,,,,,,,,,,,
bang,3543,bang,bang,bangs,banged,banging,bangings,,,,,,,,,,,,,
bank,677,bank,bank,banks,banked,banking,bankings,,,,,,,,,,,,,
banker,4333,banker,banker,bankers,,,,,,,,,,,,,,,,
bankruptcy,4440,bankruptcy,bankruptcy,bankruptcies,,,,,,,,,,,,,,,,
bar,887,bar,bar,bars,barred,barring,barrings,,,,,,,,,,,,,
barely,2676,barely,barely,,,,,,,,,,,,,,,,,
bargain,2966,bargain,bargain,bargains,bargained,bargaining,bargainings,,,,,,,,,,,,,
barrel,3603,barrel,barrel,barrels,barrelled,barrelling,barrellings,barreled,barreling,barrelings,,,,,,,,,,
barrier,2452,barrier,barrier,barriers,,,,,,,,,,,,,,,,
base,377,base,base,based;bases,based;basing,baser;basing,baser;basest,basest,,,,,,,,,,,,
baseball,2896,baseball,baseball,baseballs,,,,,,,,,,,,,,,,
basement,4064,basement,basement,basements,,,,,,,,,,,,,,,,
basic,961,basic,basic,basics,,,,,,,,,,,,,,,,
basically,1485,basically,basically,,,,,,,,,,,,,,,,,
basin,4853,basin,basin,basins,basined,,,,,,,,,,,,,,,
basis,959,basis,basis,,,,,,,,,,,,,,,,,
basket,3497,basket,basket,baskets,,,,,,,,,,,,,,,,
basketball,2897,basketball,basketball,basketballs,,,,,,,,,,,,,,,,
bat,3205,bat,bat,bats,batted,batting,battings,,,,,,,,,,,,,
bath,2344,bath,bath,baths,,,,,,,,,,,,,,,,
bathroom,2888,bathroom,bathroom,bathrooms,,,,,,,,,,,,,,,,
battery,3041,battery,battery,batteries,,,,,,,,,,,,,,,,
battle,1387,battle,battle,battles,battled,battling,battlings,,,,,,,,,,,,,
be,52,be,be,am;m,is;m,is;isn,isn;s,are;s,are;re,aren;re,ain;aren,ain;been,been;was,was;wasn,wasn;were,were;weren,being;weren,bein;being,bein;beings,beings
beach,1347,beach,beach,beaches,beached,beaching,beachings,,,,,,,,,,,,,
beam,3080,beam,beam,beams,beamed,beaming,beamings,,,,,,,,,,,,,
bean,3408,bean,bean,beans,,,,,,,,,,,,,,,,
bear,505,bear,bear,beared;bears,beared;bearing,born;borne,bearings;borne,bearing,bearings,,,,,,,,,,,
beat,1085,beat,beat,beats,beating,beaten,beatings,,,,,,,,,,,,,
beautiful,842,beautiful,beautiful,,,,,,,,,,,,,,,,,
beauty,1972,beauty,beauty,beauties,,,,,,,,,,,,,,,,
because,112,because,because,cos;coz,coz,,,,,,,,,,,,,,,
become,191,become,become,became;becomes,became;becoming,becomeing;becoming,becomeing;becomeings,becomeings,,,,,,,,,,,,
bed,744,bed,bed,bedded;beds,bedded;bedding,bedding;beddings,beddings,,,,,,,,,,,,,
bedroom,1482,bedroom,bedroom,bedrooms,bedroomed,,,,,,,,,,,,,,,
beer,2112,beer,beer,beers,,,,,,,,,,,,,,,,
before,156,before,before,,,,,,,,,,,,,,,,,
begin,239,begin,begin,began;begins,began;beginning,beginning;begun,beginned;begun,beginned;beginnings,beginnings,,,,,,,,,,,
