0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
bat,bats,batted,batting,battings,,,,,,,,,,,,,
beam,beams,beamed,beaming,beamings,,,,,,,,,,,,,
behavioral,behavioural,,,,,,,,,,,,,,,,
bilingual,bilinguals,,,,,,,,,,,,,,,,
binary,binary;binarys,binaries;binarys,binaries,,,,,,,,,,,,,,
biodiversity,biodiversity,,,,,,,,,,,,,,,,
biologist,biologist;biologists,biologists,,,,,,,,,,,,,,,
biology,biologies,,,,,,,,,,,,,,,,
bizarre,,,,,,,,,,,,,,,,,
blank,blanks,blanked,blanking,blanker,,,,,,,,,,,,,
bleed,bleeds,bled,bleeding,bleedin,,,,,,,,,,,,,
bodily,bodily,,,,,,,,,,,,,,,,
bonus,bonuses,,,,,,,,,,,,,,,,
bound,bounds,bounded,bounding,boundings,,,,,,,,,,,,,
bracket,brackets,bracketed,bracketted,,,,,,,,,,,,,,
breakdown,breakdowns,,,,,,,,,,,,,,,,
broadly,,,,,,,,,,,,,,,,,
bubble,bubbles,bubbled,bubbling,bubblings,,,,,,,,,,,,,
bucket,buckets,,,,,,,,,,,,,,,,
bulk,bulks,bulked,bulking,bulkings,,,,,,,,,,,,,
bullet,bullets,,,,,,,,,,,,,,,,
bundle,bundles,bundled,bundling,bundlings,,,,,,,,,,,,,
calcium,,,,,,,,,,,,,,,,,
calculation,calculations,,,,,,,,,,,,,,,,
calculator,calculator;calculators,calculators,,,,,,,,,,,,,,,
calculus,calculus,,,,,,,,,,,,,,,,
campus,campuses,,,,,,,,,,,,,,,,
capillary,capillaries;capillary,capillaries,,,,,,,,,,,,,,,
capitalism,capitalisms,,,,,,,,,,,,,,,,
capitalist,capitalists,,,,,,,,,,,,,,,,
carrier,carriers,,,,,,,,,,,,,,,,
cattle,,,,,,,,,,,,,,,,,
censor,censor;censors,censored;censors,censored;censoring,censoring;censorings,censorings,,,,,,,,,,,,
characterization,characterization;characterizations,characterisation;characterizations,characterisation;characterisations,characterisations,,,,,,,,,,,,,
cheat,cheats,cheated,cheating,cheatings,,,,,,,,,,,,,
cheer,cheers,cheered,cheering,cheerings,,,,,,,,,,,,,
chemistry,chemistries,,,,,,,,,,,,,,,,
chemotherapy,chemotherapies;chemotherapy,chemotherapies,,,,,,,,,,,,,,,
chess,,,,,,,,,,,,,,,,,
chloride,chloride;chlorides,chlorides,,,,,,,,,,,,,,,
chromosome,chromosomes,,,,,,,,,,,,,,,,
chronic,chronics,,,,,,,,,,,,,,,,
chunk,chunks,chunked,chunking,chunkings,,,,,,,,,,,,,
cinema,cinemas,,,,,,,,,,,,,,,,
circa,circa,,,,,,,,,,,,,,,,
circulate,circulates,circulated,circulating,circulatings,,,,,,,,,,,,,
circulation,circulations,,,,,,,,,,,,,,,,
civilization,civilizations,civilisation,civilisations,,,,,,,,,,,,,,
clarify,clarifies,clarified,clarifying,clarifyings,,,,,,,,,,,,,
classification,classifications,,,,,,,,,,,,,,,,
classify,classifies,classified,classifying,classifyings,,,,,,,,,,,,,
classroom,classrooms,,,,,,,,,,,,,,,,
clay,clays,,,,,,,,,,,,,,,,
clever,cleverer,cleverest,,,,,,,,,,,,,,,
client,clients,,,,,,,,,,,,,,,,
clinic,clinics,,,,,,,,,,,,,,,,
clip,clips,clipped,clipping,clippings,,,,,,,,,,,,,
clone,clone;clones,cloned;clones,cloned;cloning,cloning;clonings,clonings,,,,,,,,,,,,
closure,closures,,,,,,,,,,,,,,,,
clue,clues,clued,cluing,cluings,,,,,,,,,,,,,
coefficient,coefficient;coefficients,coefficients,,,,,,,,,,,,,,,
cognitive,,,,,,,,,,,,,,,,,
coherent,,,,,,,,,,,,,,,,,
collective,collectives,,,,,,,,,,,,,,,,
colonial,colonials,,,,,,,,,,,,,,,,
colony,colonies,,,,,,,,,,,,,,,,
comma,comma;commas,commas,,,,,,,,,,,,,,,
commentary,commentaries,,,,,,,,,,,,,,,,
commodity,commodities,,,,,,,,,,,,,,,,
commonly,,,,,,,,,,,,,,,,,
communicative,communicative,,,,,,,,,,,,,,,,
communist,communists,,,,,,,,,,,,,,,,
compact,compacts,compacted,compacting,compacter,,,,,,,,,,,,,
comparable,comparables,,,,,,,,,,,,,,,,
comparative,comparatives,,,,,,,,,,,,,,,,
compensate,compensates,compensated,compensating,compensatings,,,,,,,,,,,,,
competence,competences,,,,,,,,,,,,,,,,
competent,,,,,,,,,,,,,,,,,
complement,complements,complemented,complementing,complementings,,,,,,,,,,,,,
complication,complications,,,,,,,,,,,,,,,,
comply,complies,complied,complying,complyings,,,,,,,,,,,,,
composer,composers,,,,,,,,,,,,,,,,
composite,,,,,,,,,,,,,,,,,
comprehension,,,,,,,,,,,,,,,,,
computation,computation;computations,computations,,,,,,,,,,,,,,,
conceive,conceives,conceived,conceiving,conceivings,,,,,,,,,,,,,
conception,conceptions,,,,,,,,,,,,,,,,
conceptual,conceptuals,,,,,,,,,,,,,,,,
conditional,conditional;conditionals,conditionals,,,,,,,,,,,,,,,
conduction,conduction,,,,,,,,,,,,,,,,
cone,cone;cones,cones,,,,,,,,,,,,,,,
configuration,configurations,,,,,,,,,,,,,,,,
confine,confines,confined,confining,confinings,,,,,,,,,,,,,
confound,confound;confounds,confounded;confounds,confounded;confounding,confounding;confoundings,confoundings,,,,,,,,,,,,
congruent,congruent,,,,,,,,,,,,,,,,
connector,connector;connectors,connectors,,,,,,,,,,,,,,,
connotation,connotation;connotations,connotations,,,,,,,,,,,,,,,
conscious,,,,,,,,,,,,,,,,,
consciousness,consciousnesses,,,,,,,,,,,,,,,,
consensus,,,,,,,,,,,,,,,,,
consent,consents,consented,consenting,consentings,,,,,,,,,,,,,
conservation,conservations,,,,,,,,,,,,,,,,
conserve,conserve;conserves,conserved;conserves,conserved;conserving,conserving;conservings,conservings,,,,,,,,,,,,
consonant,consonant;consonants,consonants,,,,,,,,,,,,,,,
constitution,constitutions,,,,,,,,,,,,,,,,
constrain,constrains,constrained,constraining,constrainings,,,,,,,,,,,,,
consultation,consultations,,,,,,,,,,,,,,,,
consumption,consumptions,,,,,,,,,,,,,,,,
container,containers,,,,,,,,,,,,,,,,
continent,continents,,,,,,,,,,,,,,,,
continuity,continuities,,,,,,,,,,,,,,,,
contour,contour;contours,contoured;contours,contoured;contouring,contouring;contourings,contourings,,,,,,,,,,,,
contradict,contradict;contradicts,contradicted;contradicts,contradicted;contradicting,contradicting;contradictings,contradictings,,,,,,,,,,,,
contradiction,contradictions,,,,,,,,,,,,,,,,
contradictory,contradictory,,,,,,,,,,,,,,,,
contrary,contraries,,,,,,,,,,,,,,,,
controversy,controversies,,,,,,,,,,,,,,,,
converge,converge;converges,converged;converges,converged;converging,converging;convergings,convergings,,,,,,,,,,,,
convergence,convergence;convergences,convergences,,,,,,,,,,,,,,,
coordinate,coordinates,coordinated,coordinating,coordinatings,,,,,,,,,,,,,
coordination,coordinations,,,,,,,,,,,,,,,,
cord,cords,corded,cording,cordings,,,,,,,,,,,,,
coronary,coronary,,,,,,,,,,,,,,,,
corpus,corpus,,,,,,,,,,,,,,,,
correction,corrections,,,,,,,,,,,,,,,,
correctly,,,,,,,,,,,,,,,,,
correlate,correlates,correlated,correlating,correlatings,,,,,,,,,,,,,
correlation,correlations,,,,,,,,,,,,,,,,
correspondence,correspondences,,,,,,,,,,,,,,,,
corruption,corruptions,,,,,,,,,,,,,,,,
cortex,cortex;cortexes,cortexes;cortices,cortices,,,,,,,,,,,,,,
credibility,,,,,,,,,,,,,,,,,
criteria,criterion,criterions,,,,,,,,,,,,,,,
critically,critically,,,,,,,,,,,,,,,,
critique,critiques,critiqued,critiquing,critiquings,,,,,,,,,,,,,
crude,cruder,crudest,,,,,,,,,,,,,,,
crystal,crystals,,,,,,,,,,,,,,,,
cue,cues,cued,cueing,cueings,,,,,,,,,,,,,
cure,cures,cured,curing,curings,,,,,,,,,,,,,
curriculum,curriculums,curricula,,,,,,,,,,,,,,,
cyclic,cyclic;cyclics,cyclics,,,,,,,,,,,,,,,
cylinder,cylinder;cylinders,cylinders,,,,,,,,,,,,,,,
damp,damps,damped,damping,dampings,dampest,,,,,,,,,,,,
deadline,deadlines,,,,,,,,,,,,,,,,
decay,decays,decayed,decaying,decayings,,,,,,,,,,,,,
deceive,deceive;deceives,deceived;deceives,deceived;deceiving,deceiving;deceivings,deceivings,,,,,,,,,,,,
defect,defects,defected,defecting,defectings,,,,,,,,,,,,,
deficiency,deficiencies;deficiency,deficiencies,,,,,,,,,,,,,,,
definite,,,,,,,,,,,,,,,,,
deflection,deflection;deflections,deflections,,,,,,,,,,,,,,,
degrade,degrade;degrades,degraded;degrades,degraded;degrading,degrading;degradings,degradings,,,,,,,,,,,,
deliberately,,,,,,,,,,,,,,,,,
delta,delta;deltas,deltas,,,,,,,,,,,,,,,
demonstrator,demonstrator;demonstrators,demonstrators,,,,,,,,,,,,,,,
denominator,denominator;denominators,denominators,,,,,,,,,,,,,,,
denote,denotes,denoted,denoting,denotings,,,,,,,,,,,,,
dense,denser,densest,,,,,,,,,,,,,,,
dependence,dependences,,,,,,,,,,,,,,,,
depict,depicts,depicted,depicting,depictings,,,,,,,,,,,,,
derivative,derivatives,,,,,,,,,,,,,,,,
descendent,descendent;descendents,descendents,,,,,,,,,,,,,,,
descriptor,descriptor;descriptors,descriptors,,,,,,,,,,,,,,,
destination,destinations,,,,,,,,,,,,,,,,
detection,detection;detections,detections,,,,,,,,,,,,,,,
developmental,developmentals,,,,,,,,,,,,,,,,
deviation,deviation;deviations,deviations,,,,,,,,,,,,,,,
diagnose,diagnoses,diagnosed,diagnosing,diagnosings,,,,,,,,,,,,,
diagnosis,,,,,,,,,,,,,,,,,
diagnostic,diagnostic;diagnostics,diagnostics,,,,,,,,,,,,,,,
diagram,diagrams,diagrammed,diagramming,diagrammings,,,,,,,,,,,,,
dialect,dialects,,,,,,,,,,,,,,,,
diameter,diameters,,,,,,,,,,,,,,,,
diary,diaries,,,,,,,,,,,,,,,,
dictate,dictates,dictated,dictating,dictatings,,,,,,,,,,,,,
dictionary,dictionaries,,,,,,,,,,,,,,,,
differential,differentials,,,,,,,,,,,,,,,,
differentiate,differentiates,differentiated,differentiating,differentiatings,,,,,,,,,,,,,
differentiation,differentiation;differentiations,differentiations,,,,,,,,,,,,,,,
diffusion,diffusion;diffusions,diffusions,,,,,,,,,,,,,,,
dilemma,dilemmas,,,,,,,,,,,,,,,,
dilute,dilute;dilutes,diluted;dilutes,diluted;diluting,diluting;dilutings,dilutings,,,,,,,,,,,,
dimensional,dimensional;dimensionals,dimensionals,,,,,,,,,,,,,,,
dioxide,dioxides,,,,,,,,,,,,,,,,
directive,directives,,,,,,,,,,,,,,,,
disability,disabilities,,,,,,,,,,,,,,,,
disadvantage,disadvantages,disadvantaged,disadvantaging,disadvantagings,,,,,,,,,,,,,
discharge,discharges,discharged,discharging,dischargings,,,,,,,,,,,,,
discourse,discourses,discoursed,discoursing,discoursings,,,,,,,,,,,,,
discrete,discrete,,,,,,,,,,,,,,,,
discrimination,discriminations,,,,,,,,,,,,,,,,
displacement,displacement;displacements,displacements,,,,,,,,,,,,,,,
dissection,dissection;dissections,dissections,,,,,,,,,,,,,,,
dissertation,dissertation;dissertations,dissertations,,,,,,,,,,,,,,,
dissolve,dissolves,dissolved,dissolving,dissolvings,,,,,,,,,,,,,
distribution,distributions,,,,,,,,,,,,,,,,
disturbance,disturbances,,,,,,,,,,,,,,,,
diverse,,,,,,,,,,,,,,,,,
domain,domains,,,,,,,,,,,,,,,,
dominance,dominances,,,,,,,,,,,,,,,,
dominant,,,,,,,,,,,,,,,,,
domination,domination;dominations,dominations,,,,,,,,,,,,,,,
donor,donors,,,,,,,,,,,,,,,,
dose,doses,dosed,dosing,dosings,,,,,,,,,,,,,
drain,drains,drained,draining,drainings,,,,,,,,,,,,,
drift,drifts,drifted,drifting,driftin,,,,,,,,,,,,,
duration,durations,,,,,,,,,,,,,,,,
dye,dye;dyes,dyed;dyes,dyed;dyeing,dyeing;dyeings,dyeings,,,,,,,,,,,,
dynamic,dynamics,,,,,,,,,,,,,,,,
ecological,ecological;ecologicals,ecologicals,,,,,,,,,,,,,,,
ecology,ecologies;ecology,ecologies,,,,,,,,,,,,,,,
economically,,,,,,,,,,,,,,,,,
economist,economists,,,,,,,,,,,,,,,,
effectiveness,,,,,,,,,,,,,,,,,
elaborate,elaborates,elaborated,elaborating,elaboratings,,,,,,,,,,,,,
elastic,elastic;elastics,elastics,,,,,,,,,,,,,,,
elasticity,elasticities;elasticity,elasticities,,,,,,,,,,,,,,,
electron,electrons,,,,,,,,,,,,,,,,
elementary,,,,,,,,,,,,,,,,,
elevate,elevates,elevated,elevating,elevatings,,,,,,,,,,,,,
elevation,elevation;elevations,elevations,,,,,,,,,,,,,,,
elimination,elimination;eliminations,eliminations,,,,,,,,,,,,,,,
elite,elites,�lite,�lites,,,,,,,,,,,,,,
embed,embeds,embedded,embedding,embeddings,,,,,,,,,,,,,
emergence,emergences,,,,,,,,,,,,,,,,
emission,emissions,,,,,,,,,,,,,,,,
emit,emit;emits,emits;emitted,emitted;emitting,emitting;emittings,emittings,,,,,,,,,,,,
emperor,emperor;emperors,emperors,,,,,,,,,,,,,,,
empirical,empiricals,,,,,,,,,,,,,,,,
encode,encode;encodes,encoded;encodes,encoded;encoding,encoding;encodings,encodings,,,,,,,,,,,,
enforcement,enforcements,,,,,,,,,,,,,,,,
enormously,enormously,,,,,,,,,,,,,,,,
entity,entities,,,,,,,,,,,,,,,,
entrant,entrant;entrants,entrants,,,,,,,,,,,,,,,
enzyme,enzymes,,,,,,,,,,,,,,,,
epidemic,epidemics,,,,,,,,,,,,,,,,
epidemiology,epidemiologies;epidemiology,epidemiologies,,,,,,,,,,,,,,,
equality,equalities,,,,,,,,,,,,,,,,
equilibrium,,,,,,,,,,,,,,,,,
equivalence,equivalence;equivalences,equivalences,,,,,,,,,,,,,,,
erase,erase;erases,erased;erases,erased;erasing,erasing;erasings,erasings,,,,,,,,,,,,
essence,essences,,,,,,,,,,,,,,,,
essentially,,,,,,,,,,,,,,,,,
estimation,estimation;estimations,estimations,,,,,,,,,,,,,,,
ethical,ethicals,,,,,,,,,,,,,,,,
ethics,ethic,,,,,,,,,,,,,,,,
evident,evidents,,,,,,,,,,,,,,,,
evolutionary,,,,,,,,,,,,,,,,,
ex,exes,,,,,,,,,,,,,,,,
execute,executes,executed,executing,executings,,,,,,,,,,,,,
execution,executions,,,,,,,,,,,,,,,,
exit,exits,exited,exiting,exitings,,,,,,,,,,,,,
expertise,expertises,,,,,,,,,,,,,,,,
explicit,,,,,,,,,,,,,,,,,
explicitly,,,,,,,,,,,,,,,,,
exploit,exploits,exploited,exploiting,exploitings,,,,,,,,,,,,,
exponential,exponential;exponentials,exponentials,,,,,,,,,,,,,,,
fabric,fabrics,,,,,,,,,,,,,,,,
facet,facet;facets,faceted;facets,faceted;faceting,faceting;facetings,facetings,,,,,,,,,,,,
facilitate,facilitates,facilitated,facilitating,facilitatings,,,,,,,,,,,,,
factorial,factorial;factorials,factorials,,,,,,,,,,,,,,,
faculty,faculties,,,,,,,,,,,,,,,,
fatigue,fatigue;fatigues,fatigued;fatigues,fatigued;fatiguing,fatiguing;fatiguings,fatiguings,,,,,,,,,,,,
feedback,feedbacks,,,,,,,,,,,,,,,,
fertility,,,,,,,,,,,,,,,,,
fetal,fetal;foetal,foetal,,,,,,,,,,,,,,,
fever,fevers,fevered,,,,,,,,,,,,,,,
fiber,fibers,fibres,fibre,,,,,,,,,,,,,,
fin,fin;fins,finned;fins,finned;finning,finning;finnings,finnings,,,,,,,,,,,,
finite,finite,,,,,,,,,,,,,,,,
flesh,fleshes,fleshed,fleshing,fleshings,,,,,,,,,,,,,
flexibility,flexibilities,,,,,,,,,,,,,,,,
flip,flips,flipped,flipping,flippings,,,,,,,,,,,,,
fluid,fluids,,,,,,,,,,,,,,,,
flux,flux;fluxes,fluxed;fluxes,fluxed;fluxing,fluxing;fluxings,fluxings,,,,,,,,,,,,
footnote,footnote;footnotes,footnoted;footnotes,footnoted;footnoting,footnoting;footnotings,footnotings,,,,,,,,,,,,
formally,,,,,,,,,,,,,,,,,
formulation,formulation;formulations,formulations,,,,,,,,,,,,,,,
forum,forums,fora,,,,,,,,,,,,,,,
fossil,fossils,,,,,,,,,,,,,,,,
founds,founded;founds,founded;founding,founding;foundings,foundings,,,,,,,,,,,,,
fraction,fractions,,,,,,,,,,,,,,,,
fracture,fracture;fractures,fractured;fractures,fractured;fracturing,fracturing;fracturings,fracturings,,,,,,,,,,,,
freely,,,,,,,,,,,,,,,,,
friction,friction;frictions,frictions,,,,,,,,,,,,,,,
fringe,fringes,fringed,fringing,fringings,,,,,,,,,,,,,
fundamentally,,,,,,,,,,,,,,,,,
fungus,fungi;fungus,fungi,,,,,,,,,,,,,,,
fusion,fusions,,,,,,,,,,,,,,,,
gauge,gauges,gauged,gauging,gaugings,gage,gages,gaged,gaging,gagings,,,,,,,,
generalization,generalization;generalizations,generalisation;generalizations,generalisation;generalisations,generalisations,,,,,,,,,,,,,
generalize,generalizes,generalized,generalizing,generalise,generalises,generalised,generalising,generalisings,,,,,,,,,
genetically,genetically,,,,,,,,,,,,,,,,
genetics,genetics,,,,,,,,,,,,,,,,
ghost,ghosts,ghosted,ghosting,ghostings,,,,,,,,,,,,,
globalization,globalizations,globalisation,globalisations,,,,,,,,,,,,,,
goat,goats,,,,,,,,,,,,,,,,
goodness,,,,,,,,,,,,,,,,,
goods,goods,,,,,,,,,,,,,,,,
gradient,gradient;gradients,gradients,,,,,,,,,,,,,,,
gram,gram;grams,grams,,,,,,,,,,,,,,,
grammatical,grammatical;grammaticals,grammaticals,,,,,,,,,,,,,,,
graph,graphs,graphed,graphing,graphings,,,,,,,,,,,,,
grasp,grasps,grasped,grasping,graspings,,,,,,,,,,,,,
gravity,gravities,,,,,,,,,,,,,,,,
grid,grids,,,,,,,,,,,,,,,,
gross,grosses,grossed,grossing,grosser,grossest,,,,,,,,,,,,
gut,guts,gutted,gutting,guttings,,,,,,,,,,,,,
habitat,habitats,,,,,,,,,,,,,,,,
halfway,halfways,,,,,,,,,,,,,,,,
handout,handout;handouts,handouts,,,,,,,,,,,,,,,
harvest,harvests,harvested,harvesting,harvestings,,,,,,,,,,,,,
hawk,hawk;hawks,hawked;hawks,hawked;hawking,hawking;hawkings,hawkings,,,,,,,,,,,,
headquarter,headquarters,headquartered,headquartering,headquarterings,,,,,,,,,,,,,
hedge,hedges,hedged,hedging,hedgings,,,,,,,,,,,,,
helix,helix;helixes,helices;helixes,helices,,,,,,,,,,,,,,
hepatitis,hepatitis,,,,,,,,,,,,,,,,
herbicide,herbicide;herbicides,herbicides,,,,,,,,,,,,,,,
hierarchy,hierarchies,,,,,,,,,,,,,,,,
hip,hips,hipped,,,,,,,,,,,,,,,
historically,,,,,,,,,,,,,,,,,
homework,homeworks,,,,,,,,,,,,,,,,
horizon,horizons,,,,,,,,,,,,,,,,
horizontal,horizontals,,,,,,,,,,,,,,,,
hormone,hormones,,,,,,,,,,,,,,,,
hydrogen,hydrogens,,,,,,,,,,,,,,,,
identical,identicals,,,,,,,,,,,,,,,,
identification,identifications,,,,,,,,,,,,,,,,
ideology,ideologies,,,,,,,,,,,,,,,,
illusion,illusions,,,,,,,,,,,,,,,,
immune,,,,,,,,,,,,,,,,,
impact,impacts,impacted,impacting,impactings,,,,,,,,,,,,,
implicit,,,,,,,,,,,,,,,,,
importantly,,,,,,,,,,,,,,,,,
impulse,impulses,,,,,,,,,,,,,,,,
incidence,incidences,,,,,,,,,,,,,,,,
incline,inclines,inclined,inclining,inclinings,,,,,,,,,,,,,
inclusion,inclusions,,,,,,,,,,,,,,,,
incredible,incredibles,,,,,,,,,,,,,,,,
incredibly,,,,,,,,,,,,,,,,,
incumbent,incumbent;incumbents,incumbents,,,,,,,,,,,,,,,
independently,,,,,,,,,,,,,,,,,
indicator,indicators,,,,,,,,,,,,,,,,
indifference,indifference;indifferences,indifferences,,,,,,,,,,,,,,,
indigenous,,,,,,,,,,,,,,,,,
indirect,indirects,,,,,,,,,,,,,,,,
individually,,,,,,,,,,,,,,,,,
induce,induces,induced,inducing,inducings,,,,,,,,,,,,,
induction,induction;inductions,inductions,,,,,,,,,,,,,,,
industrialization,industrialization;industrializations,industrialisation;industrializations,industrialisation;industrialisations,industrialisations,,,,,,,,,,,,,
industrialize,industrialize;industrializes,industrialized;industrializes,industrialized;industrializing,industrialise;industrializing,industrialise;industrialises,industrialised;industrialises,industrialised;industrialising,industrialising;industrialisings,industrialisings,,,,,,,,
inequality,inequalities,,,,,,,,,,,,,,,,
inevitably,,,,,,,,,,,,,,,,,
infect,infects,infected,infecting,infectings,,,,,,,,,,,,,
infectious,infectious,,,,,,,,,,,,,,,,
inference,inference;inferences,inferences,,,,,,,,,,,,,,,
inferior,inferior;inferiors,inferiors,,,,,,,,,,,,,,,
infinite,infinite,,,,,,,,,,,,,,,,
infinity,infinities;infinity,infinities;infinitys,infinitys,,,,,,,,,,,,,,
influential,influentials,,,,,,,,,,,,,,,,
informal,informals,,,,,,,,,,,,,,,,
inhibit,inhibits,inhibited,inhibiting,inhibitings,,,,,,,,,,,,,
inhibition,inhibition;inhibitions,inhibitions,,,,,,,,,,,,,,,
initiate,initiates,initiated,initiating,initiatings,,,,,,,,,,,,,
initiation,initiation;initiations,initiations,,,,,,,,,,,,,,,
inject,injects,injected,injecting,injectings,,,,,,,,,,,,,
injection,injections,,,,,,,,,,,,,,,,
innate,innate,,,,,,,,,,,,,,,,
insect,insects,,,,,,,,,,,,,,,,
insert,inserts,inserted,inserting,insertings,,,,,,,,,,,,,
instability,instabilities;instability,instabilities,,,,,,,,,,,,,,,
instinct,instincts,,,,,,,,,,,,,,,,
integral,integrals,,,,,,,,,,,,,,,,
integration,integrations,,,,,,,,,,,,,,,,
intensity,intensities,,,,,,,,,,,,,,,,
intensive,,,,,,,,,,,,,,,,,
interact,interacts,interacted,interacting,interactings,,,,,,,,,,,,,
interestingly,,,,,,,,,,,,,,,,,
interface,interfaces,interfaced,interfacing,interfacings,,,,,,,,,,,,,
interfere,interferes,interfered,interfering,interferings,,,,,,,,,,,,,
intermediate,intermediates,intermediated,intermediating,intermediatings,,,,,,,,,,,,,
interrupt,interrupts,interrupted,interrupting,interruptings,,,,,,,,,,,,,
interval,intervals,,,,,,,,,,,,,,,,
intervene,intervenes,intervened,intervening,intervenings,,,,,,,,,,,,,
interviewer,interviewer;interviewers,interviewers,,,,,,,,,,,,,,,
invade,invades,invaded,invading,invadings,,,,,,,,,,,,,
invasion,invasions,,,,,,,,,,,,,,,,
inversion,inversion;inversions,inversions,,,,,,,,,,,,,,,
invert,invert;inverts,inverted;inverts,inverted;inverting,inverting;invertings,invertings,,,,,,,,,,,,
